"wbic","year","survey.seq.no","survey.begin.date","survey.end.date","month","daytype","n.marks.recapped","totalFishExamined"
198100,2023,515099424,2023-05-06,2024-03-03,7,"weekday",1,1
376900,2017,515084283,2017-05-06,2018-03-04,2,"weekend",0,1
376900,2017,515084283,2017-05-06,2018-03-04,6,"weekday",1,3
376900,2017,515084283,2017-05-06,2018-03-04,6,"weekend",0,1
376900,2017,515084283,2017-05-06,2018-03-04,7,"weekday",1,3
376900,2017,515084283,2017-05-06,2018-03-04,8,"weekday",0,1
376900,2017,515084283,2017-05-06,2018-03-04,9,"weekday",0,1
376900,2017,515084283,2017-05-06,2018-03-04,9,"weekend",0,4
378400,2017,515084286,2017-05-06,2018-03-04,2,"weekend",0,1
378400,2017,515084286,2017-05-06,2018-03-04,3,"weekday",0,1
378400,2017,515084286,2017-05-06,2018-03-04,5,"weekend",0,1
378400,2017,515084286,2017-05-06,2018-03-04,6,"weekday",0,1
378400,2017,515084286,2017-05-06,2018-03-04,6,"weekend",1,3
378400,2017,515084286,2017-05-06,2018-03-04,7,"weekend",0,1
387200,2005,98231,2005-05-07,2006-03-05,5,"weekday",6,12
387200,2005,98231,2005-05-07,2006-03-05,5,"weekend",14,43
387200,2005,98231,2005-05-07,2006-03-05,6,"weekday",0,1
387200,2005,98231,2005-05-07,2006-03-05,8,"weekday",2,3
387200,2005,98231,2005-05-07,2006-03-05,8,"weekend",0,1
387200,2005,98231,2005-05-07,2006-03-05,9,"weekend",1,1
387200,2005,98231,2005-05-07,2006-03-05,10,"weekend",2,3
387200,2017,515084231,2017-05-06,2018-03-04,5,"weekday",1,2
387200,2017,515084231,2017-05-06,2018-03-04,9,"weekday",1,1
394400,1989,515092356,1989-05-06,1990-03-04,5,"weekday",14,56
394400,1989,515092356,1989-05-06,1990-03-04,5,"weekend",13,73
394400,1989,515092356,1989-05-06,1990-03-04,6,"weekday",3,9
394400,1989,515092356,1989-05-06,1990-03-04,6,"weekend",0,7
394400,1989,515092356,1989-05-06,1990-03-04,7,"weekday",2,3
394400,1989,515092356,1989-05-06,1990-03-04,7,"weekend",0,2
394400,1989,515092356,1989-05-06,1990-03-04,8,"weekday",4,58
394400,1989,515092356,1989-05-06,1990-03-04,8,"weekend",0,30
394400,1989,515092356,1989-05-06,1990-03-04,9,"weekday",0,29
394400,1989,515092356,1989-05-06,1990-03-04,9,"weekend",0,24
394400,1989,515092356,1989-05-06,1990-03-04,10,"weekday",0,16
394400,1989,515092356,1989-05-06,1990-03-04,10,"weekend",0,23
394400,2004,95948,2004-05-01,2005-03-06,1,"weekend",0,4
394400,2004,95948,2004-05-01,2005-03-06,2,"weekday",0,2
394400,2004,95948,2004-05-01,2005-03-06,2,"weekend",0,1
394400,2004,95948,2004-05-01,2005-03-06,5,"weekday",1,9
394400,2004,95948,2004-05-01,2005-03-06,5,"weekend",1,16
394400,2004,95948,2004-05-01,2005-03-06,6,"weekend",1,4
394400,2004,95948,2004-05-01,2005-03-06,7,"weekday",0,1
394400,2004,95948,2004-05-01,2005-03-06,8,"weekday",0,1
394400,2004,95948,2004-05-01,2005-03-06,8,"weekend",1,5
394400,2004,95948,2004-05-01,2005-03-06,9,"weekday",0,1
394400,2004,95948,2004-05-01,2005-03-06,10,"weekday",0,3
394400,2004,95948,2004-05-01,2005-03-06,10,"weekend",0,4
394400,2007,96233,2007-05-05,2008-03-02,1,"weekday",0,1
394400,2007,96233,2007-05-05,2008-03-02,1,"weekend",0,3
394400,2007,96233,2007-05-05,2008-03-02,5,"weekday",0,5
394400,2007,96233,2007-05-05,2008-03-02,5,"weekend",1,14
394400,2007,96233,2007-05-05,2008-03-02,6,"weekday",0,6
394400,2007,96233,2007-05-05,2008-03-02,6,"weekend",0,3
394400,2007,96233,2007-05-05,2008-03-02,7,"weekday",1,1
394400,2007,96233,2007-05-05,2008-03-02,7,"weekend",0,2
394400,2007,96233,2007-05-05,2008-03-02,8,"weekday",0,5
394400,2007,96233,2007-05-05,2008-03-02,8,"weekend",1,16
394400,2007,96233,2007-05-05,2008-03-02,9,"weekday",0,2
394400,2007,96233,2007-05-05,2008-03-02,9,"weekend",0,10
394400,2007,96233,2007-05-05,2008-03-02,10,"weekend",0,1
394400,2010,47850885,2010-05-01,2011-03-06,1,"weekday",0,1
394400,2010,47850885,2010-05-01,2011-03-06,1,"weekend",1,2
394400,2010,47850885,2010-05-01,2011-03-06,5,"weekday",6,10
394400,2010,47850885,2010-05-01,2011-03-06,5,"weekend",1,5
394400,2010,47850885,2010-05-01,2011-03-06,6,"weekend",0,6
394400,2010,47850885,2010-05-01,2011-03-06,7,"weekday",1,10
394400,2010,47850885,2010-05-01,2011-03-06,7,"weekend",3,21
394400,2010,47850885,2010-05-01,2011-03-06,8,"weekday",7,26
394400,2010,47850885,2010-05-01,2011-03-06,8,"weekend",8,23
394400,2010,47850885,2010-05-01,2011-03-06,9,"weekday",1,2
394400,2010,47850885,2010-05-01,2011-03-06,9,"weekend",0,1
394400,2010,47850885,2010-05-01,2011-03-06,10,"weekend",1,5
394400,2010,47850885,2010-05-01,2011-03-06,12,"weekend",0,3
394400,2013,383017788,2013-05-04,2014-03-02,1,"weekend",0,2
394400,2013,383017788,2013-05-04,2014-03-02,5,"weekday",0,4
394400,2013,383017788,2013-05-04,2014-03-02,5,"weekend",0,7
394400,2013,383017788,2013-05-04,2014-03-02,7,"weekday",0,6
394400,2013,383017788,2013-05-04,2014-03-02,7,"weekend",0,9
394400,2013,383017788,2013-05-04,2014-03-02,8,"weekday",0,6
394400,2013,383017788,2013-05-04,2014-03-02,8,"weekend",0,1
394400,2013,383017788,2013-05-04,2014-03-02,9,"weekday",1,2
394400,2013,383017788,2013-05-04,2014-03-02,9,"weekend",0,2
394400,2013,383017788,2013-05-04,2014-03-02,12,"weekday",0,4
394400,2013,383017788,2013-05-04,2014-03-02,12,"weekend",0,2
394400,2016,515081382,2016-05-07,2017-03-05,1,"weekend",0,2
394400,2016,515081382,2016-05-07,2017-03-05,2,"weekend",1,4
394400,2016,515081382,2016-05-07,2017-03-05,5,"weekday",1,8
394400,2016,515081382,2016-05-07,2017-03-05,5,"weekend",3,32
394400,2016,515081382,2016-05-07,2017-03-05,6,"weekday",4,11
394400,2016,515081382,2016-05-07,2017-03-05,6,"weekend",2,10
394400,2016,515081382,2016-05-07,2017-03-05,7,"weekday",0,7
394400,2016,515081382,2016-05-07,2017-03-05,7,"weekend",2,8
394400,2016,515081382,2016-05-07,2017-03-05,8,"weekday",5,25
394400,2016,515081382,2016-05-07,2017-03-05,8,"weekend",2,17
394400,2016,515081382,2016-05-07,2017-03-05,9,"weekday",0,2
394400,2016,515081382,2016-05-07,2017-03-05,9,"weekend",2,14
394400,2016,515081382,2016-05-07,2017-03-05,10,"weekend",1,16
394400,2016,515081382,2016-05-07,2017-03-05,12,"weekend",1,1
394400,2019,515089450,2019-05-04,2020-03-01,1,"weekday",0,1
394400,2019,515089450,2019-05-04,2020-03-01,2,"weekday",1,2
394400,2019,515089450,2019-05-04,2020-03-01,2,"weekend",0,3
394400,2019,515089450,2019-05-04,2020-03-01,3,"weekend",0,1
394400,2019,515089450,2019-05-04,2020-03-01,5,"weekday",1,2
394400,2019,515089450,2019-05-04,2020-03-01,5,"weekend",1,7
394400,2019,515089450,2019-05-04,2020-03-01,7,"weekend",0,4
394400,2019,515089450,2019-05-04,2020-03-01,8,"weekday",0,4
394400,2019,515089450,2019-05-04,2020-03-01,8,"weekend",0,3
394400,2019,515089450,2019-05-04,2020-03-01,9,"weekday",0,4
394400,2019,515089450,2019-05-04,2020-03-01,9,"weekend",0,16
394400,2019,515089450,2019-05-04,2020-03-01,10,"weekday",0,1
394400,2019,515089450,2019-05-04,2020-03-01,10,"weekend",0,7
394400,2022,515097064,2022-05-07,2023-03-05,5,"weekday",0,7
394400,2022,515097064,2022-05-07,2023-03-05,5,"weekend",4,10
394400,2022,515097064,2022-05-07,2023-03-05,6,"weekend",0,5
